# column1  
#           x                    probability
1.144295145000000069e+00 9.717899106827964555e-04
1.154585434999999993e+00 0.000000000000000000e+00
1.164875725000000140e+00 0.000000000000000000e+00
1.175166015000000064e+00 0.000000000000000000e+00
1.185456305000000210e+00 0.000000000000000000e+00
1.195746595000000134e+00 0.000000000000000000e+00
1.206036885000000058e+00 9.717899106827964555e-04
1.216327174999999983e+00 0.000000000000000000e+00
1.226617465000000129e+00 9.717899106827964555e-04
1.236907755000000053e+00 9.717899106827964555e-04
1.247198045000000199e+00 9.717899106827755304e-04
1.257488335000000124e+00 1.943579821365592911e-03
1.267778625000000048e+00 0.000000000000000000e+00
1.278068914999999972e+00 1.943579821365551061e-03
1.288359205000000118e+00 9.717899106827964555e-04
1.298649495000000043e+00 1.943579821365592911e-03
1.308939785000000189e+00 1.943579821365551061e-03
1.319230075000000113e+00 1.943579821365592911e-03
1.329520365000000037e+00 9.717899106827964555e-04
1.339810654999999961e+00 2.915369732048326157e-03
1.350100945000000108e+00 4.858949553413982603e-03
1.360391235000000032e+00 2.915369732048389475e-03
1.370681525000000178e+00 4.858949553413877652e-03
1.380971815000000102e+00 1.943579821365592911e-03
1.391262105000000027e+00 8.746109196144978906e-03
1.401552395000000173e+00 3.887159642731185822e-03
1.411842685000000097e+00 3.887159642731185822e-03
1.422132975000000021e+00 3.887159642731185822e-03
1.432423265000000168e+00 4.858949553413877652e-03
1.442713555000000092e+00 3.887159642731185822e-03
1.453003845000000016e+00 9.717899106827755304e-04
1.463294135000000162e+00 2.915369732048389475e-03
1.473584425000000087e+00 3.887159642731185822e-03
1.483874715000000011e+00 9.717899106827964555e-04
1.494165005000000157e+00 1.943579821365551061e-03
1.504455295000000081e+00 0.000000000000000000e+00
1.514745585000000005e+00 3.887159642731102122e-03
1.525035875000000152e+00 6.802529374779575297e-03
1.535326165000000076e+00 3.887159642731185822e-03
1.545616455000000000e+00 5.830739464096778950e-03
1.555906745000000146e+00 1.943579821365551061e-03
1.566197035000000071e+00 0.000000000000000000e+00
