# r  F
3.250000 0.805163
3.500000 -0.232708
3.750000 -0.573134
4.000000 -0.599449
4.250000 -0.471201
4.500000 -0.313087
4.750000 -0.174228
5.000000 -0.082659
5.250000 -0.039378
5.500000 -0.052379
5.750000 -0.109945
6.000000 -0.164053
6.250000 -0.211264
6.500000 -0.243522
6.750000 -0.248247
7.000000 -0.230247
7.250000 -0.168288
7.500000 -0.096017
7.750000 -0.013733
8.000000 0.073048
8.250000 0.130110
8.500000 0.173695
8.750000 0.173340
9.000000 0.143962
9.250000 0.093593
9.500000 0.031045
9.750000 -0.019787
10.000000 -0.042361
10.250000 -0.040913
10.500000 -0.020530
10.750000 -0.010396
11.000000 0.008258
11.250000 0.028405
11.500000 0.030545
11.750000 0.031291
12.000000 0.035640
12.250000 0.011303
12.500000 0.017054
12.750000 0.008895
13.000000 0.025282
13.250000 0.007539
13.500000 0.021091
13.750000 0.002760
14.000000 0.000000
